Ax (g),Ay (g),Az (g),Gx (dps),Gy (dps),Gz (dps),Temp (degC),engine_speed (rpm),vehicle_speed (km/h),engine_load (%),throttle_position (%),distance_traveled_mil (km),o2_volt1 (V),o2_volt2 (V),o2_curr1 (A),o2_curr2 (A)
0.0264, -0.0820, 2.0354, 5.8800, -12.1800, -4.4100, 21.6719, 1030.0000, 50.0000, 49.8039, 20.0000, 0.0000, 0.0000, 0.0000, -128.0000, -128.0000
0.0210, -0.0874, 2.0335, 4.0600, -13.9300, -2.6600, 21.6797, 1030.0000, 50.0000, 49.8039, 20.0000, 0.0000, 0.0000, 0.0000, -128.0000, -128.0000
0.0210,  -0.0859,  2.0330,  -2.1700,  -8.6800,  -1.8200,  21.7500,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0307,  -0.0800,  2.0384,  0.4900,  -7.7700,  0.9100,  21.6914,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0293,  -0.0849,  2.0320,  2.3100,  -15.6800,  1.7500,  21.7461,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0229,  -0.0830,  2.0394,  4.9700,  -18.2700,  -8.8200,  21.7383,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0312,  -0.0913,  2.0374,  4.0600,  -12.1800,  -7.9800,  21.7656,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0195,  -0.0820,  2.0398,  4.9700,  -11.2700,  -4.4800,  21.7227,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0239,  -0.0791,  2.0354,  4.0600,  -8.6800,  -1.7500,  21.7188,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0298,  -0.0825,  2.0340,  -2.1700,  -5.1800,  -0.9100,  21.7227,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0229,  -0.0839,  2.0389,  8.5400,  -12.1800,  -0.9100,  21.7383,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0293,  -0.0791,  2.0345,  4.0600,  -7.7700,  0.0000,  21.7227,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0254,  -0.0849,  2.0325,  5.8800,  -4.2700,  -6.1600,  21.7383,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
0.0273,  -0.0781,  2.0330,  1.4000,  -12.1800,  -0.9100,  21.6875,  1030.0000,  50.0000,  49.8039,  20.0000,  0.0000,  0.0000,  0.0000,  -128.0000,  -128.0000
